# Java Collections
# Format: Front[TAB]Back

[Beginner] What is the root interface of the Java collections framework?	`Collection<E>` (and `Map<K,V>` for key-value stores, which does not extend Collection).
[Intermediate] What are `EnumSet` and `EnumMap` and why are they preferred over `HashSet`/`HashMap` with enums?	`EnumSet`: a `Set` implementation for enum types backed by a bit-vector (a single `long` bitmask for enums with ≤64 constants). All operations are O(1) and extremely fast. No nulls. Factory methods: `EnumSet.of(A, B)`, `EnumSet.allOf(E.class)`, `EnumSet.range(MON, FRI)`. `EnumMap`: a `Map` with enum keys backed by an array indexed by enum ordinal — O(1) ops, compact, iterates in enum declaration order. Both are dramatically faster than `HashMap`/`HashSet` with enum keys and use far less memory. Not thread-safe — wrap if needed.
[Intermediate] What are Sequenced Collections (Java 21) and which interfaces were added?	JEP 431 added three interfaces: `SequencedCollection<E>` (extends `Collection`) with `getFirst()`, `getLast()`, `addFirst()`, `addLast()`, `removeFirst()`, `removeLast()`, `reversed()`. `SequencedSet<E>` (extends `Set` + `SequencedCollection`). `SequencedMap<K,V>` (extends `Map`) with `firstEntry()`, `lastEntry()`, `putFirst()`, `putLast()`, `sequencedKeySet()`, `sequencedValues()`, `reversed()`. These solve the inconsistency where `Deque`, `LinkedHashMap`, `LinkedHashSet`, and `SortedSet` all had different (or missing) APIs for accessing first/last elements. `ArrayList`, `LinkedList`, `ArrayDeque`, `LinkedHashSet`, `LinkedHashMap`, `TreeSet`, and `TreeMap` all implement the new interfaces.
What are `Map` default methods added in Java 8+ and what do they do?
[Intermediate] What are `Comparator` static factory methods (Java 8+)?	`Comparator.comparing(keyExtractor)` — creates a comparator by extracting a `Comparable` sort key (e.g. `Comparator.comparing(Person::getName)`). `.thenComparing(keyExtractor)` — chains a secondary comparator applied when the first yields equality. `.reversed()` — reverses the ordering of any comparator. `Comparator.naturalOrder()` — natural (ascending) ordering for `Comparable` types. `Comparator.reverseOrder()` — reverse of natural order. `Comparator.nullsFirst(c)` / `Comparator.nullsLast(c)` — wraps any comparator to handle `null` values at the beginning or end without throwing `NullPointerException`. Combining: `Comparator.comparing(Person::getLastName).thenComparing(Person::getFirstName).reversed()` — full multi-level sort in one fluent expression.	`getOrDefault(key, default)` — returns value or default if absent. `putIfAbsent(key, value)` — only inserts if key has no current mapping. `computeIfAbsent(key, mappingFn)` — computes and inserts value if absent; returns the value. `computeIfPresent(key, remappingFn)` — updates value if key already exists. `compute(key, remappingFn)` — always computes a new value (can remove if fn returns null). `merge(key, value, mergeFn)` — puts value if absent, or applies merge function to combine old and new values; removes if fn returns null. `forEach((k,v) -> ...)` — iterates all entries. `replaceAll((k,v) -> newV)` — replaces all values. These eliminate many null-check patterns.

# === From java_advanced_anki_expanded ===
[Intermediate] What is the difference between `HashMap` and `ConcurrentHashMap`?	`HashMap` is not thread-safe — concurrent modification causes data corruption or infinite loops. `ConcurrentHashMap` is thread-safe without locking the entire map. Java 8+: uses CAS for inserts into empty bins, `synchronized` on the bin head for updates; reads are entirely lock-free. Supports concurrent bulk operations (`forEach`, `reduce`, `search`). Does NOT allow null keys/values (unlike `HashMap`). Significantly higher throughput than `Hashtable` or `Collections.synchronizedMap()`.
[Intermediate] What is the default load factor of `HashMap` and what does it mean?	Default load factor is 0.75, balancing time vs. space. When `size > capacity × loadFactor`, the map is rehashed: a new backing array of 2× capacity is allocated and all entries are redistributed — an O(n) operation. Lower load factor (e.g., 0.5): fewer collisions, faster lookups, more memory wasted. Higher load factor (e.g., 0.9): more collisions, slower lookups, less memory. Pre-size with `new HashMap<>(expectedSize / 0.75 + 1)` to avoid rehashing. Initial capacity defaults to 16 (always a power of 2).
[Intermediate] What is `LinkedHashMap` and when would you use it?	`LinkedHashMap` extends `HashMap` with a doubly-linked list connecting all entries, maintaining either insertion order (default) or access order (constructor: `new LinkedHashMap<>(capacity, loadFactor, true)`). Iteration is O(n) in insertion/access order — unlike `HashMap`'s arbitrary order. Access-order mode combined with overriding `removeEldestEntry()` enables an LRU cache. Slightly higher memory overhead than `HashMap`. Used internally by `LinkedHashSet`.
[Intermediate] What is the difference between `Collections.unmodifiableList()` and `List.of()`?	`Collections.unmodifiableList(list)` returns a view — throws `UnsupportedOperationException` on modification attempts, but the underlying list can still be modified and the view reflects changes. Allows null elements. `List.of()` (Java 9+) is truly immutable — structural modifications and `set()` both throw `UnsupportedOperationException`. Does NOT allow null elements. `List.copyOf()` creates an immutable deep copy. Use `List.of()` for constants; `Collections.unmodifiableList()` when wrapping a mutable list you control.
[Intermediate] What is the difference between fail-fast and fail-safe iterators?	Fail-fast iterators detect structural modification during iteration by checking a `modCount` counter. If the collection is modified by any means other than the iterator's own `remove()`, they throw `ConcurrentModificationException` immediately (best-effort). Examples: `ArrayList`, `HashMap` iterators. Fail-safe (weakly consistent) iterators work on a snapshot or tolerate concurrent modification — never throw `ConcurrentModificationException` but may not reflect modifications made after iterator creation. Examples: `CopyOnWriteArrayList`, `ConcurrentHashMap` iterators.
[Intermediate] What is `CopyOnWriteArrayList` and when should you use it?	`CopyOnWriteArrayList` is a thread-safe variant where every mutating operation (`add`, `set`, `remove`) creates a fresh copy of the underlying array. Reads operate on the existing array without locking — completely lock-free reads. Iterators snapshot the array at creation time — never throw `ConcurrentModificationException`, but don't reflect subsequent changes. Best for: collections with very infrequent writes but frequent reads (e.g., event listener lists). Avoid for write-heavy workloads — O(n) write cost plus GC pressure from array copies.
[Intermediate] What is the difference between `Comparable` and `Comparator`?	`Comparable<T>`: implemented by the class itself via `compareTo(T other)`, defining the natural ordering (e.g., String alphabetical, Integer numeric). Used by `Collections.sort()` and `TreeSet` by default. `Comparator<T>`: external ordering strategy, passed as a parameter — allows multiple orderings without modifying the class. Java 8+: `Comparator.comparing(Person::getName).thenComparing(Person::getAge).reversed()`. Use `Comparator` when you don't control the class or need a different ordering.
