# Technical English — Intermediate: Domain-Specific Vocabulary
# Format: Front[TAB]Back
# Part 4 of 4 (split from english_intermediate.txt): sections 12a-12d - Java, Android, Security, and C++ domain vocabulary.

# Section 12a: Java Domain Vocabulary
# ============================================================

Faden / Thread	thread
Tiefenlink / Deep Link	deep link
App-Verknüpfung	app link / app shortcut
ProGuard / R8 (Code-Verschleierung)	ProGuard / R8 (code shrinking / obfuscation)
APK (Android-Paketdatei)	APK (Android Package)
Android-Veröffentlichungsformat, das Google Play in optimierte APKs umwandelt	AAB (Android App Bundle)
Gradle-Build-Skript	Gradle build script
Build-Variante	build variant
Produktvariante	product flavor
Build-Typ	build type
Kommandozeilenwerkzeug zur Kommunikation mit Android-Geräten	ADB (Android Debug Bridge)

# ============================================================

# Section 12c: Security Domain Vocabulary (Grundlagen)
# ============================================================

CIA-Dreiklang	CIA triad (Confidentiality, Integrity, Availability)
Vertraulichkeit	confidentiality
Integrität	integrity
Verfügbarkeit (Sicherheit)	availability (security)
Verteidigung in der Tiefe	defense in depth — layered security: multiple controls so one failure does not compromise the system
Schadensradius	blast radius — the scope of impact when a failure or security breach occurs
Berechtigungsausuferung	privilege creep
Zugriffsüberprüfung	access recertification / access review
Salzen (Passwort)	salting (password)
Pfeffer (Passwort-Zusatz)	pepper (password)
Regenbogentabelle	rainbow table
Arbeitsfaktor (bcrypt)	work factor (bcrypt)
SIM-Tausch-Angriff	SIM swapping (attack)
Verschlüsselungssuite	cipher suite
Umschlagverschlüsselung	envelope encryption
Seitenübergreifendes Skripting (XSS)	cross-site scripting (XSS)
Seitenübergreifende Anfragefälschung (CSRF)	cross-site request forgery (CSRF)
SQL-Einschleusung	SQL injection
Klickentführung	clickjacking
Offene Weiterleitung	open redirect
Massenzuweisung	mass assignment
Eingabevalidierung	input validation
Ausgabekodierung	output encoding
Datei-Upload-Schwachstelle	file upload vulnerability
Unsichere direkte Objektreferenz	IDOR (Insecure Direct Object Reference)

# ============================================================

# Section 12d: C++ Domain Vocabulary
# ============================================================

Zeiger / Pointer	pointer
Referenz (C++)	reference (C++)
Intelligenter Zeiger	smart pointer
Eindeutiger Zeiger / Unique Pointer	unique pointer (std::unique_ptr)
Geteilter Zeiger / Shared Pointer	shared pointer (std::shared_ptr)
Schwacher Zeiger / Weak Pointer	weak pointer (std::weak_ptr)
Roher Zeiger	raw pointer
Baumelnder Zeiger	dangling pointer
Nullzeiger	null pointer / nullptr
Speicherzuweisung (C++)	memory allocation (new / malloc)
Speicherfreigabe (C++)	memory deallocation (delete / free)
Konstruktor	constructor
Destruktor	destructor
Kopierkonstruktor	copy constructor
Verschiebekonstruktor	move constructor
Kopierzuweisungsoperator	copy assignment operator
Verschiebesemantik	move semantics
R-Wert-Referenz	rvalue reference (&&)
L-Wert-Referenz	lvalue reference (&)
Perfektes Weiterleiten	perfect forwarding
RAII (Ressourcenbeschaffung ist Initialisierung)	RAII (Resource Acquisition Is Initialization)
Stapelspeicher / Stack (C++)	stack memory
Haldenspeicher / Heap (C++)	heap memory
Pufferüberlauf	buffer overflow
Verwendung nach Freigabe	use-after-free
Doppelte Freigabe	double free
Speicherzugriffsfehler	segmentation fault (segfault)
Nullzeiger-Dereferenzierung	null pointer dereference
Undefiniertes Verhalten	undefined behavior (UB)
Vorlagen / Templates	templates
Vorlagenspezialisierung	template specialization
Variadische Vorlage	variadic template
Konzepte (C++20)	concepts (C++20)
Konstanter Ausdruck / constexpr	constexpr (constant expression)
Automatische Typableitung / auto	auto (type deduction)
Bereichsbasierte For-Schleife	range-based for loop
Lambda-Ausdruck (C++)	lambda expression (C++)
Namensraum	namespace
Kopfdatei / Header-Datei	header file
Übersetzungseinheit	translation unit
Vorwärtsdeklaration	forward declaration
Einbindungsschutz	include guard / header guard
Mehrfachvererbung	multiple inheritance
Virtuelle Funktion	virtual function
Rein virtuelle Funktion	pure virtual function
Abstrakte Klasse (C++)	abstract class (C++)
Polymorphie (C++)	polymorphism (C++)
Virtuelle Funktionstabelle (vtable)	vtable (virtual function table)
Operator-Überladung	operator overloading
Funktionsüberladung	function overloading
