# Technical English — Pro: Architecture & Security
# Format: Front[TAB]Back
# Part 1 of 5 (split from english_pro.txt): sections 13-14 - Software Architecture, Security Vocabulary.

# Section 13: Software Architecture
# ============================================================

Microservices / Mikrodienste	microservices
Symmetrische Verschlüsselung	symmetric encryption
Asymmetrische Verschlüsselung	asymmetric encryption
Schlüsselaustausch	key exchange
Perfekte Vorwärtsgeheimhaltung	perfect forward secrecy (PFS) — compromising a long-term key does not expose past session keys
Geheimnisrotation	secret rotation
Tresor für Geheimnisse	vault / secrets vault
Sicherheitsbewertung	security assessment
Risikoanalyse	risk analysis
CVE (Gemeinsame Schwachstellenaufzählung)	CVE (Common Vulnerabilities and Exposures)
CVSS (Bewertungssystem für Schwachstellen)	CVSS (Common Vulnerability Scoring System)
Null-Vertrauen / Zero Trust	zero trust (architecture / model)
Datenverschleierung / Obfuskation	obfuscation
Datenmaskierung	data masking
Datenklassifizierung	data classification
Sicherheitsvorfall	security incident
Forensik (IT)	(digital) forensics
Protokollprüfung / Audit-Trail	audit trail / audit log

# ============================================================
