# Technical English — Master: Cryptography & Hardware Architecture
# Format: Front[TAB]Back
# Part 2 of 4 (split from english_master.txt): sections 29-30 - Cryptography & Protocol Design, Hardware Architecture & Chip Design.

# Section 29: Cryptography & Protocol Design
# ============================================================

Symmetrisches Verschlüsselungsverfahren	symmetric cipher
# ============================================================

# Section 30: Hardware Architecture & Chip Design
# ============================================================

Befehlssatzarchitektur (ISA)	ISA (Instruction Set Architecture)
CISC (Komplexer Befehlssatz)	CISC (Complex Instruction Set Computing)
RISC (Reduzierter Befehlssatz)	RISC (Reduced Instruction Set Computing)
Offene, lizenzfreie Befehlssatzarchitektur	RISC-V
ARM-Architektur	ARM architecture
x86-Architektur	x86 architecture
Mikroprozessor	microprocessor
Mikroarchitektur	microarchitecture
Pipeline (Prozessor)	pipeline (processor)
Pipeline-Stufe	pipeline stage
Befehlsabruf	instruction fetch
Befehlsdekodierung	instruction decode
Befehlsausführung	instruction execution
Rückschreibphase	write-back (stage)
Sprungvorhersage	branch prediction — CPU guesses which branch will be taken to keep the pipeline full
Sprungvorhersagefehler	branch misprediction
Spekulative Ausführung	speculative execution
Außerordentliche Ausführung	out-of-order execution (OoOE) — CPU executes instructions as operands become available, not in program order
Registerumbenennung	register renaming
Reorder-Puffer	reorder buffer (ROB)
Reservierungsstation	reservation station
Superskalarer Prozessor	superscalar processor
VLIW (Sehr langer Befehlswort)	VLIW (Very Long Instruction Word)
SIMD (Einzelbefehl, Mehrfachdaten)	SIMD (Single Instruction, Multiple Data)
MIMD (Mehrfachbefehl, Mehrfachdaten)	MIMD (Multiple Instruction, Multiple Data)
Vektorprozessor / Vektoreinheit	vector processor / vector unit
AVX (Erweiterte Vektorbefehle)	AVX (Advanced Vector Extensions)
NEON (ARM-Vektorbefehle)	NEON (ARM SIMD)
GPU (Grafikprozessor)	GPU (Graphics Processing Unit)
GPGPU (Allzweck-GPU-Berechnung)	GPGPU (General-Purpose GPU computing)
GPU-Programm für Pixel-, Vertex- oder Geometrieberechnungen	shader
NVIDIA-Plattform für parallele GPU-Berechnungen	CUDA (Compute Unified Device Architecture)
Offener Standard für parallele Berechnungen auf CPU/GPU/FPGA	OpenCL (Open Computing Language)
Tensorprozessor / TPU	TPU (Tensor Processing Unit)
Neuronaler Netzwerk-Beschleuniger	neural network accelerator / NPU
FPGA (Feldprogrammierbares Gate-Array)	FPGA (Field-Programmable Gate Array)
ASIC (Anwendungsspezifische Integrierte Schaltung)	ASIC (Application-Specific Integrated Circuit)
Komplettes System (CPU, RAM, I/O) auf einem einzigen Chip	SoC (System on a Chip)
Fertigungsprozess / Prozesstechnologie	process node / fabrication process (e.g., 5nm, 3nm)
Taktrate	clock rate / clock frequency
Taktzyklus	clock cycle
Befehlsdurchsatz (IPC)	IPC (Instructions Per Clock / Cycle)
Cache-Hierarchie	cache hierarchy
Schnellster, prozessornahester Zwischenspeicher (je Kern)	L1 cache
Zweiter, größerer Zwischenspeicher zwischen L1 und Hauptspeicher	L2 cache
L3-Cache / Last-Level-Cache	L3 cache / LLC (Last-Level Cache)
Cache-Kohärenz	cache coherence — ensures all CPU cores see a consistent view of shared memory
Kohärenzprotokoll	coherence protocol (MESI, MOESI)
Nicht-einheitlicher Speicherzugriff (NUMA)	NUMA (Non-Uniform Memory Access)
Speichercontroller	memory controller
Speicherbus	memory bus
DDR-Speicher	DDR (Double Data Rate) memory
HBM (Speicher mit hoher Bandbreite)	HBM (High Bandwidth Memory)
Offener Interconnect-Standard für kohärenten Speicherzugriff zwischen CPU und Beschleunigern	CXL (Compute Express Link)
PCIe (Peripheral Component Interconnect Express)	PCIe (PCI Express)
Hochgeschwindigkeits-Speicherschnittstelle für SSDs über PCIe	NVMe (Non-Volatile Memory Express)
Dauerhafter Speicher / Persistent Memory	persistent memory (PMEM)
Chiplet / Chiplet-Architektur	chiplet (architecture)
Verbindungsschicht zwischen Chips in einem Multi-Die-Paket	interposer
Multi-Die-Paket	multi-die package (MDP)
Thermische Entwurfsleistung (TDP)	TDP (Thermal Design Power)
Leistung pro Watt	performance per watt

# ============================================================
