# Technical English — Expert: Distributed Systems & Kernel Vocabulary
# Format: Front[TAB]Back
# Part 2 of 5 (split from english_expert.txt): sections 21-22 - Distributed Systems & Consensus, Kernel & Hardware-Level Vocabulary.

# Section 21: Distributed Systems & Consensus
# ============================================================

Verteiltes System	distributed system
Unterbrechungsverteilung / IRQ-Balancing	IRQ balancing
Weiche Unterbrechung, die im Kernel verzögert verarbeitet wird	softirq (soft interrupt)
Leichtgewichtige, dynamisch zuweisbare Kernel-Aufgabe	tasklet
Arbeitswarteschlange	workqueue
Zeitgesteuerter Auslöser für verzögerte Aufgaben im Betriebssystem-Kern	kernel timer
Hochpräzisionstimer	hrtimer (high-resolution timer)
Lese-Kopier-Aktualisierung (RCU)	RCU (Read-Copy-Update)
Spinlock / Drehschloss	spinlock
Lese-/Schreibsperre	read-write lock (rwlock)
Sequenzsperre	seqlock
Speicherbarriere (Kernel)	memory barrier (mb, rmb, wmb)
Atomare Operationen	atomic operations
Compare-and-Swap / Vergleichen-und-Tauschen	CAS (Compare-and-Swap)
Speicherordnungs-Semantik	memory ordering semantics
Koheränzprotokoll (Cache)	cache coherence protocol
MESI-Protokoll	MESI protocol (Modified, Exclusive, Shared, Invalid) — cache coherence protocol tracking line state across CPU cores
Cache-Zeile	cache line
Leistungseinbruch durch ständiges Verdrängen und Neuladen von Cache-Einträgen	cache thrashing
Falsche Teilung / False Sharing	false sharing
Spekulative Ausführung	speculative execution — CPU executes instructions ahead of time on a predicted branch, rolling back if wrong
Seitenkanalangriff	side-channel attack
CPU-Sicherheitslücken durch spekulative Ausführung (Seitenkanalangriffe)	Meltdown / Spectre
eBPF (erweiterter Berkeley-Paketfilter)	eBPF (extended Berkeley Packet Filter)
XDP (Express-Datenpfad)	XDP (eXpress Data Path)
ftrace (Funktionsverfolgung)	ftrace (function tracer)
kprobe (Kernel-Sonde)	kprobe (kernel probe)
uprobe (Benutzersonde)	uprobe (user-space probe)
Tracepoint / Ablaufverfolgungspunkt	tracepoint
perf (Leistungsanalyse-Tool)	perf (performance analysis tool)
Systemzustandsbericht	system activity report (sar)

# ============================================================
